Date : 2026-03-04 14:38:29
Directory : c:\JoystickGremlin-develop
Total : 367 files,  173019 codes, 24840 comments, 48494 blanks, all 246353 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\JoystickGremlin-develop\gfx\dark_profile_new.svg                                        | XML              |         14 |          1 |          0 |         15 |
| c:\JoystickGremlin-develop\gfx\dark_profile_open.svg                                       | XML              |         14 |          1 |          0 |         15 |
| c:\JoystickGremlin-develop\gfx\dark_profile_save.svg                                       | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\dark_profile_save_as.svg                                    | XML              |         14 |          1 |          0 |         15 |
| c:\JoystickGremlin-develop\gfx\delete.svg                                                  | XML              |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\gfx\device_information.svg                                      | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\generate.svg                                                | XML              |          5 |          0 |          1 |          6 |
| c:\JoystickGremlin-develop\gfx\generic.svg                                                 | XML              |          5 |          0 |          1 |          6 |
| c:\JoystickGremlin-develop\gfx\hat_n.svg                                                   | XML              |         65 |          1 |          2 |         68 |
| c:\JoystickGremlin-develop\gfx\input_repeater.svg                                          | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\list_add.svg                                                | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\list_delete.svg                                             | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\list_down.svg                                               | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\list_up.svg                                                 | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\manage_modes.svg                                            | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\manage_modules.svg                                          | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\mode_delete.svg                                             | XML              |         47 |          0 |          1 |         48 |
| c:\JoystickGremlin-develop\gfx\options.svg                                                 | XML              |        138 |          0 |          0 |        138 |
| c:\JoystickGremlin-develop\gfx\profile_new.svg                                             | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\profile_open.svg                                            | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\profile_save.svg                                            | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\profile_save_as.svg                                         | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\gfx\warning.svg                                                 | XML              |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\gremlinEx.py                                                    | Python           |      3,449 |        768 |      1,537 |      5,754 |
| c:\JoystickGremlin-develop\gremlinEx_nuitka.yml                                            | YAML             |          9 |          0 |          0 |          9 |
| c:\JoystickGremlin-develop\gremlin\__init__.py                                             | Python           |          0 |         48 |          8 |         56 |
| c:\JoystickGremlin-develop\gremlin\actions.py                                              | Python           |        556 |        251 |        224 |      1,031 |
| c:\JoystickGremlin-develop\gremlin\base_buttons.py                                         | Python           |        115 |         40 |         30 |        185 |
| c:\JoystickGremlin-develop\gremlin\base_classes.py                                         | Python           |        323 |         21 |        128 |        472 |
| c:\JoystickGremlin-develop\gremlin\base_conditions.py                                      | Python           |        646 |        124 |        179 |        949 |
| c:\JoystickGremlin-develop\gremlin\base_profile.py                                         | Python           |      4,925 |        694 |      1,464 |      7,083 |
| c:\JoystickGremlin-develop\gremlin\cheatsheet.py                                           | Python           |          0 |        458 |        138 |        596 |
| c:\JoystickGremlin-develop\gremlin\clipboard.py                                            | Python           |        198 |         21 |         54 |        273 |
| c:\JoystickGremlin-develop\gremlin\code_runner.py                                          | Python           |        503 |        162 |        221 |        886 |
| c:\JoystickGremlin-develop\gremlin\common.py                                               | Python           |         98 |         30 |         29 |        157 |
| c:\JoystickGremlin-develop\gremlin\config.py                                               | Python           |      2,210 |        324 |        617 |      3,151 |
| c:\JoystickGremlin-develop\gremlin\control_action.py                                       | Python           |         32 |         46 |         23 |        101 |
| c:\JoystickGremlin-develop\gremlin\curve_handler.py                                        | Python           |      1,610 |        393 |        503 |      2,506 |
| c:\JoystickGremlin-develop\gremlin\curve_handler_instructions.md                           | Markdown         |         35 |          0 |         39 |         74 |
| c:\JoystickGremlin-develop\gremlin\error.py                                                | Python           |         29 |         29 |         36 |         94 |
| c:\JoystickGremlin-develop\gremlin\event_handler.py                                        | Python           |      3,085 |        473 |        986 |      4,544 |
| c:\JoystickGremlin-develop\gremlin\execution_graph.py                                      | Python           |      1,822 |        256 |        526 |      2,604 |
| c:\JoystickGremlin-develop\gremlin\fsm.py                                                  | Python           |         24 |         37 |         13 |         74 |
| c:\JoystickGremlin-develop\gremlin\gamepad_handling.py                                     | Python           |         65 |          3 |         23 |         91 |
| c:\JoystickGremlin-develop\gremlin\gated_handler.py                                        | Python           |      3,302 |        349 |      1,198 |      4,849 |
| c:\JoystickGremlin-develop\gremlin\gated_handler_instructions.md                           | Markdown         |         45 |          0 |         33 |         78 |
| c:\JoystickGremlin-develop\gremlin\hid.py                                                  | Python           |         85 |         18 |         17 |        120 |
| c:\JoystickGremlin-develop\gremlin\hid_guardian.py                                         | Python           |        194 |        101 |         51 |        346 |
| c:\JoystickGremlin-develop\gremlin\hints.py                                                | Python           |          7 |         17 |          8 |         32 |
| c:\JoystickGremlin-develop\gremlin\import_profile.py                                       | Python           |      1,935 |        194 |        652 |      2,781 |
| c:\JoystickGremlin-develop\gremlin\input_devices.py                                        | Python           |        644 |        448 |        296 |      1,388 |
| c:\JoystickGremlin-develop\gremlin\input_types.py                                          | Python           |        145 |         17 |         23 |        185 |
| c:\JoystickGremlin-develop\gremlin\joystick_handling.py                                    | Python           |      1,185 |        156 |        362 |      1,703 |
| c:\JoystickGremlin-develop\gremlin\keyboard.py                                             | Python           |      1,163 |        180 |        279 |      1,622 |
| c:\JoystickGremlin-develop\gremlin\ktts.py                                                 | Python           |        264 |         29 |         96 |        389 |
| c:\JoystickGremlin-develop\gremlin\macro.py                                                | Python           |      1,113 |        295 |        312 |      1,720 |
| c:\JoystickGremlin-develop\gremlin\macro_handler.py                                        | Python           |        205 |         99 |         52 |        356 |
| c:\JoystickGremlin-develop\gremlin\pid.py                                                  | Python           |        407 |        463 |        145 |      1,015 |
| c:\JoystickGremlin-develop\gremlin\plugin_manager.py                                       | Python           |        252 |         76 |         76 |        404 |
| c:\JoystickGremlin-develop\gremlin\process.py                                              | Python           |        285 |         81 |         86 |        452 |
| c:\JoystickGremlin-develop\gremlin\profile.py                                              | Python           |      1,119 |        354 |        314 |      1,787 |
| c:\JoystickGremlin-develop\gremlin\profile_graph.py                                        | Python           |      1,017 |         92 |        321 |      1,430 |
| c:\JoystickGremlin-develop\gremlin\raw_input.py                                            | Python           |        287 |         51 |         71 |        409 |
| c:\JoystickGremlin-develop\gremlin\remote.py                                               | Python           |      1,665 |        103 |        443 |      2,211 |
| c:\JoystickGremlin-develop\gremlin\repeater.py                                             | Python           |        204 |         76 |         60 |        340 |
| c:\JoystickGremlin-develop\gremlin\reporting.py                                            | Python           |        549 |         80 |        196 |        825 |
| c:\JoystickGremlin-develop\gremlin\sendinput.py                                            | Python           |        345 |        127 |        118 |        590 |
| c:\JoystickGremlin-develop\gremlin\shared_state.py                                         | Python           |        349 |         88 |        161 |        598 |
| c:\JoystickGremlin-develop\gremlin\signal.py                                               | Python           |          0 |         24 |          9 |         33 |
| c:\JoystickGremlin-develop\gremlin\singleton_decorator.py                                  | Python           |          8 |         16 |          8 |         32 |
| c:\JoystickGremlin-develop\gremlin\sound.py                                                | Python           |        661 |         71 |        223 |        955 |
| c:\JoystickGremlin-develop\gremlin\spline.py                                               | Python           |        113 |         55 |         43 |        211 |
| c:\JoystickGremlin-develop\gremlin\tabstate.py                                             | Python           |         76 |         15 |         34 |        125 |
| c:\JoystickGremlin-develop\gremlin\threading.py                                            | Python           |         80 |         43 |         54 |        177 |
| c:\JoystickGremlin-develop\gremlin\tree.py                                                 | Python           |        120 |        112 |         36 |        268 |
| c:\JoystickGremlin-develop\gremlin\tts.py                                                  | Python           |        257 |         49 |         83 |        389 |
| c:\JoystickGremlin-develop\gremlin\types.py                                                | Python           |      1,197 |         39 |        222 |      1,458 |
| c:\JoystickGremlin-develop\gremlin\ui\__init__.py                                          | Python           |          0 |         15 |          2 |         17 |
| c:\JoystickGremlin-develop\gremlin\ui\axis_calibration.py                                  | Python           |      1,098 |         94 |        342 |      1,534 |
| c:\JoystickGremlin-develop\gremlin\ui\backend.py                                           | Python           |        174 |        138 |         46 |        358 |
| c:\JoystickGremlin-develop\gremlin\ui\config.py                                            | Python           |        112 |         20 |         43 |        175 |
| c:\JoystickGremlin-develop\gremlin\ui\deadzone.py                                          | Python           |        309 |         55 |         86 |        450 |
| c:\JoystickGremlin-develop\gremlin\ui\device.py                                            | Python           |        499 |         74 |        146 |        719 |
| c:\JoystickGremlin-develop\gremlin\ui\dialogs.py                                           | Python           |      2,993 |        412 |      1,210 |      4,615 |
| c:\JoystickGremlin-develop\gremlin\ui\eliding.py                                           | Python           |        138 |         91 |         51 |        280 |
| c:\JoystickGremlin-develop\gremlin\ui\input_item.py                                        | Python           |      3,448 |        655 |      1,280 |      5,383 |
| c:\JoystickGremlin-develop\gremlin\ui\input_viewer.py                                      | Python           |        821 |         91 |        296 |      1,208 |
| c:\JoystickGremlin-develop\gremlin\ui\joystick_device.py                                   | Python           |      1,042 |        164 |        406 |      1,612 |
| c:\JoystickGremlin-develop\gremlin\ui\keyboard_device.py                                   | Python           |        581 |         92 |        208 |        881 |
| c:\JoystickGremlin-develop\gremlin\ui\merge_axis.py                                        | Python           |        210 |         59 |         47 |        316 |
| c:\JoystickGremlin-develop\gremlin\ui\midi_device.py                                       | Python           |      1,608 |        166 |        526 |      2,300 |
| c:\JoystickGremlin-develop\gremlin\ui\mode_device.py                                       | Python           |        369 |         71 |        142 |        582 |
| c:\JoystickGremlin-develop\gremlin\ui\octavi_device.py                                     | Python           |        720 |         70 |        180 |        970 |
| c:\JoystickGremlin-develop\gremlin\ui\osc_device.py                                        | Python           |      2,882 |        759 |        952 |      4,593 |
| c:\JoystickGremlin-develop\gremlin\ui\profile.py                                           | Python           |        493 |         85 |        121 |        699 |
| c:\JoystickGremlin-develop\gremlin\ui\profile_creator.py                                   | Python           |        223 |         96 |         55 |        374 |
| c:\JoystickGremlin-develop\gremlin\ui\profile_settings.py                                  | Python           |        477 |        109 |        183 |        769 |
| c:\JoystickGremlin-develop\gremlin\ui\qdatawidget.py                                       | Python           |         13 |          0 |          6 |         19 |
| c:\JoystickGremlin-develop\gremlin\ui\qsliderwidget.py                                     | Python           |        853 |        148 |        263 |      1,264 |
| c:\JoystickGremlin-develop\gremlin\ui\state_device.py                                      | Python           |      2,491 |        187 |        768 |      3,446 |
| c:\JoystickGremlin-develop\gremlin\ui\theme.py                                             | Python           |         14 |          0 |          5 |         19 |
| c:\JoystickGremlin-develop\gremlin\ui\ui_about.py                                          | Python           |         61 |          8 |         19 |         88 |
| c:\JoystickGremlin-develop\gremlin\ui\ui_activation_condition.py                           | Python           |      1,080 |        207 |        419 |      1,706 |
| c:\JoystickGremlin-develop\gremlin\ui\ui_common.py                                         | Python           |      9,690 |      1,672 |      3,132 |     14,494 |
| c:\JoystickGremlin-develop\gremlin\ui\ui_gremlin.py                                        | Python           |        311 |         51 |         87 |        449 |
| c:\JoystickGremlin-develop\gremlin\ui\ui_labeled.py                                        | Python           |          0 |        606 |        140 |        746 |
| c:\JoystickGremlin-develop\gremlin\ui\ui_util.py                                           | Python           |        165 |         61 |         41 |        267 |
| c:\JoystickGremlin-develop\gremlin\ui\user_plugin_management.py                            | Python           |        392 |         58 |        132 |        582 |
| c:\JoystickGremlin-develop\gremlin\ui\virpil_device.py                                     | Python           |          0 |        164 |         36 |        200 |
| c:\JoystickGremlin-develop\gremlin\ui\virtual_button.py                                    | Python           |        218 |         61 |         72 |        351 |
| c:\JoystickGremlin-develop\gremlin\ui\virtual_keyboard.py                                  | Python           |      1,010 |         82 |        284 |      1,376 |
| c:\JoystickGremlin-develop\gremlin\user_plugin.py                                          | Python           |        514 |        183 |        155 |        852 |
| c:\JoystickGremlin-develop\gremlin\util.py                                                 | Python           |      1,881 |        273 |        498 |      2,652 |
| c:\JoystickGremlin-develop\gremlin\version.py                                              | Python           |          8 |         16 |          7 |         31 |
| c:\JoystickGremlin-develop\gremlin\windows_event_hook.py                                   | Python           |        455 |        121 |        155 |        731 |
| c:\JoystickGremlin-develop\layout.xml                                                      | XML              |        245 |          0 |          2 |        247 |
| c:\JoystickGremlin-develop\logs\custom_widgets.log                                         | Log              |         13 |          0 |          1 |         14 |
| c:\JoystickGremlin-develop\mkdocs.yml                                                      | YAML             |         37 |          0 |          0 |         37 |
| c:\JoystickGremlin-develop\publish.bat                                                     | Batch            |          2 |          0 |          0 |          2 |
| c:\JoystickGremlin-develop\qml\helpers.js                                                  | JavaScript       |         15 |          0 |          2 |         17 |
| c:\JoystickGremlin-develop\qml_notes.md                                                    | Markdown         |        287 |          0 |        125 |        412 |
| c:\JoystickGremlin-develop\qt5reactor\__init__.py                                          | Python           |          3 |          0 |          2 |          5 |
| c:\JoystickGremlin-develop\qt5reactor\_version.py                                          | Python           |        321 |        131 |         69 |        521 |
| c:\JoystickGremlin-develop\qt5reactor\core.py                                              | Python           |        223 |        176 |         66 |        465 |
| c:\JoystickGremlin-develop\qt5reactor\tests\__init__.py                                    | Python           |          0 |          0 |          1 |          1 |
| c:\JoystickGremlin-develop\qt5reactor\tests\test_core.py                                   | Python           |          9 |          0 |          6 |         15 |
| c:\JoystickGremlin-develop\requirements.txt                                                | pip requirements |         25 |          3 |          3 |         31 |
| c:\JoystickGremlin-develop\resources.py                                                    | Python           |     15,930 |         57 |          9 |     15,996 |
| c:\JoystickGremlin-develop\scripts\configuration.py                                        | Python           |        171 |         24 |         56 |        251 |
| c:\JoystickGremlin-develop\scripts\msfs.py                                                 | Python           |        483 |        140 |        156 |        779 |
| c:\JoystickGremlin-develop\scripts\osc.py                                                  | Python           |      1,028 |        635 |        350 |      2,013 |
| c:\JoystickGremlin-develop\scripts\sc.py                                                   | Python           |        575 |         93 |        219 |        887 |
| c:\JoystickGremlin-develop\scripts\util.py                                                 | Python           |        183 |         25 |         58 |        266 |
| c:\JoystickGremlin-develop\simconnect_simvars.xml                                          | XML              |      4,987 |          0 |          1 |      4,988 |
| c:\JoystickGremlin-develop\site\404.html                                                   | HTML             |        256 |          0 |        413 |        669 |
| c:\JoystickGremlin-develop\site\actions\index.html                                         | HTML             |      1,785 |          0 |        682 |      2,467 |
| c:\JoystickGremlin-develop\site\assets\discord.svg                                         | XML              |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\bundle.c8b220af.min.js                  | JavaScript       |         14 |          1 |          2 |         17 |
| c:\JoystickGremlin-develop\site\assets\javascripts\glightbox.min.js                        | JavaScript       |          1 |          0 |          1 |          2 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ar.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.da.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.de.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.du.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.el.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.es.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.fi.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.fr.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.he.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hi.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hu.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.hy.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.it.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ja.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.jp.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.kn.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ko.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.multi.min.js              | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.nl.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.no.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.pt.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ro.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ru.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.sa.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.stemmer.support.min.js    | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.sv.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.ta.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.te.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.th.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.tr.min.js                 | JavaScript       |          1 |         16 |          1 |         18 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.vi.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\min\lunr.zh.min.js                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\tinyseg.js                         | JavaScript       |        176 |         21 |          9 |        206 |
| c:\JoystickGremlin-develop\site\assets\javascripts\lunr\wordcut.js                         | JavaScript       |      4,882 |        915 |        911 |      6,708 |
| c:\JoystickGremlin-develop\site\assets\javascripts\workers\search.f8cc74c7.min.js          | JavaScript       |         38 |          3 |          2 |         43 |
| c:\JoystickGremlin-develop\site\assets\stylesheets\glightbox.min.css                       | PostCSS          |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\stylesheets\main.2afb09e1.min.css                   | PostCSS          |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\stylesheets\palette.06af60db.min.css                | PostCSS          |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\assets\warning.svg                                         | XML              |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\containers\index.html                                      | HTML             |        497 |          0 |        498 |        995 |
| c:\JoystickGremlin-develop\site\credits\index.html                                         | HTML             |        283 |          0 |        445 |        728 |
| c:\JoystickGremlin-develop\site\index.html                                                 | HTML             |        571 |          0 |        525 |      1,096 |
| c:\JoystickGremlin-develop\site\ktts\index.html                                            | HTML             |        448 |          0 |        479 |        927 |
| c:\JoystickGremlin-develop\site\overview\index.html                                        | HTML             |      1,588 |          0 |        694 |      2,282 |
| c:\JoystickGremlin-develop\site\resources\index.html                                       | HTML             |        477 |          0 |        506 |        983 |
| c:\JoystickGremlin-develop\site\scripting\index.html                                       | HTML             |        552 |          0 |        525 |      1,077 |
| c:\JoystickGremlin-develop\site\search\search_index.json                                   | JSON             |          1 |          0 |          0 |          1 |
| c:\JoystickGremlin-develop\site\sitemap.xml                                                | XML              |         39 |          0 |          0 |         39 |
| c:\JoystickGremlin-develop\site\usage\index.html                                           | HTML             |      5,367 |          0 |      1,394 |      6,761 |
| c:\JoystickGremlin-develop\test\action_condition_complex.xml                               | XML              |        171 |          0 |          3 |        174 |
| c:\JoystickGremlin-develop\test\action_condition_simple.xml                                | XML              |         47 |          0 |          0 |         47 |
| c:\JoystickGremlin-develop\test\conftest.py                                                | Python           |         15 |          0 |          7 |         22 |
| c:\JoystickGremlin-develop\test\test_vjoy_remap.py                                         | Python           |          4 |          0 |          5 |          9 |
| c:\JoystickGremlin-develop\test\x_test_action_condition.py                                 | Python           |        112 |         18 |         26 |        156 |
| c:\JoystickGremlin-develop\test\x_test_action_description.py                               | Python           |         22 |         59 |         14 |         95 |
| c:\JoystickGremlin-develop\test\x_test_action_remap.py                                     | Python           |        123 |         15 |         21 |        159 |
| c:\JoystickGremlin-develop\test\x_test_action_tempo.py                                     | Python           |         65 |         15 |         17 |         97 |
| c:\JoystickGremlin-develop\test\x_test_config.py                                           | Python           |         71 |         15 |         25 |        111 |
| c:\JoystickGremlin-develop\test\x_test_profile.py                                          | Python           |        222 |         25 |         36 |        283 |
| c:\JoystickGremlin-develop\test\x_test_tree.py                                             | Python           |        223 |         15 |         52 |        290 |
| c:\JoystickGremlin-develop\test\x_test_util.py                                             | Python           |        115 |         15 |         18 |        148 |
| c:\JoystickGremlin-develop\vigem\vigem_client.py                                           | Python           |        114 |        175 |         48 |        337 |
| c:\JoystickGremlin-develop\vigem\vigem_commons.py                                          | Python           |        128 |         41 |         33 |        202 |
| c:\JoystickGremlin-develop\vigem\vigem_gamepad.py                                          | Python           |        198 |        250 |         75 |        523 |
| c:\JoystickGremlin-develop\vjoy\__init__.py                                                | Python           |          0 |         15 |          2 |         17 |
| c:\JoystickGremlin-develop\vjoy\vjoy.py                                                    | Python           |        574 |        318 |        186 |      1,078 |
| c:\JoystickGremlin-develop\vjoy\vjoy_interface.py                                          | Python           |        156 |         30 |         33 |        219 |
| Total                                                                                      |                  |    173,019 |     24,840 |     48,494 |    246,353 |
+--------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
